iter	Passed	Remaining
401	17275	68673
402	17325	68655
403	17364	68600
404	17411	68571
405	17461	68554
406	17502	68503
407	17543	68455
408	17585	68408
409	17627	68359
410	17662	68286
411	17701	68229
412	17742	68178
413	17777	68102
414	17811	68025
415	17847	67958
416	17880	67876
417	17914	67800
418	17947	67722
419	17979	67638
420	18012	67556
421	18041	67464
422	18072	67377
423	18109	67310
424	18151	67268
425	18193	67220
426	18232	67163
427	18262	67076
428	18295	66998
429	18325	66909
430	18361	66841
431	18394	66765
432	18427	66687
433	18461	66615
434	18493	66534
435	18524	66449
436	18554	66361
437	18588	66289
438	18622	66219
439	18655	66143
440	18691	66077
441	18727	66011
442	18765	65954
443	18799	65883
444	18834	65814
445	18865	65734
446	18897	65654
447	18928	65572
448	18959	65491
449	18991	65413
450	19025	65344
451	19058	65271
452	19096	65215
453	19132	65150
454	19167	65086
455	19208	65039
456	19245	64979
457	19283	64924
458	19324	64878
459	19370	64848
460	19417	64824
461	19474	64830
462	19517	64792
463	19564	64766
464	19612	64743
465	19661	64722
466	19709	64700
467	19754	64667
468	19795	64619
469	19835	64570
470	19877	64528
471	19918	64482
472	19965	64456
473	20012	64429
474	20051	64374
475	20091	64327
476	20131	64277
477	20173	64235
478	20218	64199
479	20259	64154
480	20302	64115
481	20344	64071
482	20385	64025
483	20429	63988
484	20473	63954
485	20511	63896
486	20551	63848
487	20586	63785
488	20623	63724
489	20663	63678
490	20704	63630
491	20744	63581
492	20786	63538
493	20834	63514
494	20876	63471
495	20917	63427
496	20956	63374
497	21001	63341
498	21045	63306
499	21088	63266
500	21130	63224
501	21173	63183
502	21213	63133
503	21252	63083
504	21295	63041
505	21333	62988
506	21374	62943
507	21415	62898
508	21460	62864
509	21500	62815
510	21538	62759
511	21582	62722
512	21624	62681
513	21664	62634
514	21705	62587
515	21743	62532
516	21782	62483
517	21820	62429
518	21863	62388
519	21900	62331
520	21942	62290
521	21984	62247
522	22024	62199
523	22063	62147
524	22106	62109
525	22147	62064
526	22192	62028
527	22238	61997
528	22282	61961
529	22324	61919
530	22368	61883
531	22412	61844
532	22453	61799
533	22495	61757
534	22530	61696
535	22570	61647
536	22611	61603
537	22650	61553
538	22688	61498
539	22727	61448
540	22763	61389
541	22802	61339
542	22842	61290
543	22884	61250
544	22927	61210
545	22964	61154
546	23004	61107
547	23044	61058
548	23083	61008
549	23124	60964
550	23162	60912
551	23201	60861
552	23239	60808
553	23282	60770
554	23325	60729
555	23372	60701
556	23415	60662
557	23453	60608
558	23488	60549
559	23530	60506
560	23571	60462
561	23620	60438
562	23662	60395
563	23698	60339
564	23737	60288
565	23774	60235
566	23813	60184
567	23852	60134
568	23891	60085
569	23939	60058
570	23978	60010
571	24021	59970
572	24063	59928
573	24099	59870
574	24133	59808
575	24163	59737
576	24193	59665
577	24227	59604
578	24256	59530
579	24291	59472
580	24330	59422
581	24362	59357
582	24395	59294
583	24428	59229
584	24461	59168
585	24495	59105
586	24529	59046
587	24562	58984
588	24591	58911
589	24618	58835
590	24650	58770
591	24680	58700
592	24715	58643
593	24749	58581
594	24781	58516
595	24810	58447
596	24842	58382
597	24878	58328
598	24916	58277
599	24964	58250
600	25002	58199
601	25036	58141
602	25074	58090
603	25110	58036
604	25154	58001
605	25194	57955
606	25234	57910
607	25277	57872
608	25318	57830
609	25358	57785
610	25403	57749
611	25445	57710
612	25490	57676
613	25527	57623
614	25574	57595
615	25614	57549
616	25650	57494
617	25692	57455
618	25733	57411
619	25777	57375
620	25819	57334
621	25861	57294
622	25903	57254
623	25949	57221
624	25993	57185
625	26036	57147
626	26076	57101
627	26121	57067
628	26161	57022
629	26204	56983
630	26241	56933
631	26281	56888
632	26323	56847
633	26360	56796
634	26399	56748
635	26437	56699
636	26475	56650
637	26515	56606
638	26553	56556
639	26593	56511
640	26630	56459
641	26668	56409
642	26710	56369
643	26750	56325
644	26791	56283
645	26828	56232
646	26866	56182
647	26899	56124
648	26940	56080
649	26979	56033
650	27027	56006
651	27080	55988
652	27121	55946
653	27160	55898
654	27200	55855
655	27236	55801
656	27276	55757
657	27319	55717
658	27360	55675
659	27400	55631
660	27439	55584
661	27475	55532
662	27510	55477
663	27549	55431
664	27593	55394
665	27634	55351
666	27674	55308
667	27719	55273
668	27763	55236
669	27801	55188
670	27839	55140
671	27880	55097
672	27923	55057
673	27967	55021
674	28012	54986
675	28059	54957
676	28105	54923
677	28148	54885
678	28195	54855
679	28237	54813
680	28278	54771
681	28319	54728
682	28378	54720
683	28429	54698
684	28474	54662
685	28517	54623
686	28562	54587
687	28605	54549
688	28646	54506
689	28683	54457
690	28728	54422
691	28774	54389
692	28818	54351
693	28860	54311
694	28898	54262
695	28938	54218
696	28985	54186
697	29029	54150
698	29070	54107
699	29113	54067
700	29161	54037
701	29205	54000
702	29244	53955
703	29291	53922
704	29328	53872
705	29367	53827
706	29403	53775
707	29440	53724
708	29479	53678
709	29516	53627
710	29554	53579
711	29592	53532
712	29635	53494
713	29682	53462
714	29725	53422
715	29766	53379
716	29805	53333
717	29847	53292
718	29882	53239
719	29917	53185
720	29964	53154
721	30000	53103
722	30039	53057
723	30076	53008
724	30114	52960
725	30160	52925
726	30211	52901
727	30249	52853
728	30285	52802
729	30323	52754
730	30363	52709
731	30402	52663
732	30443	52622
733	30480	52573
734	30518	52524
735	30555	52475
736	30594	52430
737	30634	52385
738	30679	52349
739	30718	52305
740	30754	52253
741	30791	52204
742	30826	52152
743	30859	52095
744	30894	52043
745	30927	51987
746	30972	51953
747	31005	51897
748	31035	51836
749	31068	51781
750	31099	51721
751	31138	51675
752	31171	51621
753	31206	51570
754	31235	51507
755	31264	51445
756	31294	51385
757	31330	51336
758	31361	51276
759	31389	51214
760	31420	51156
761	31452	51099
762	31481	51038
763	31512	50981
764	31549	50932
765	31585	50882
766	31617	50827
767	31648	50770
768	31682	50716
769	31717	50665
770	31749	50609
771	31783	50556
772	31814	50499
773	31843	50439
774	31873	50380
775	31904	50323
776	31934	50265
777	31964	50205
778	31996	50151
779	32029	50097
780	32061	50042
781	32089	49980
782	32119	49922
783	32148	49862
784	32179	49806
785	32208	49747
786	32244	49697
787	32277	49645
788	32307	49587
789	32335	49526
790	32366	49470
791	32398	49415
792	32425	49354
793	32454	49295
794	32495	49254
795	32528	49201
796	32560	49147
797	32591	49091
798	32620	49032
799	32651	48976
800	32680	48919
801	32711	48863
802	32745	48812
803	32780	48762
804	32811	48707
805	32840	48649
806	32871	48593
807	32900	48536
808	32934	48485
809	32965	48430
810	32997	48377
811	33025	48318
812	33055	48261
813	33087	48208
814	33116	48151
815	33153	48105
816	33185	48052
817	33214	47994
818	33243	47937
819	33280	47891
820	33314	47841
821	33345	47786
822	33378	47735
823	33410	47682
824	33442	47629
825	33472	47574
826	33499	47514
827	33527	47456
828	33559	47404
829	33592	47353
830	33625	47302
831	33655	47247
832	33687	47194
833	33719	47141
834	33750	47089
835	33779	47032
836	33812	46981
837	33844	46929
838	33875	46877
839	33905	46822
840	33934	46765
841	33963	46710
842	33992	46654
843	34024	46602
844	34059	46554
845	34091	46502
846	34122	46449
847	34153	46397
848	34181	46339
849	34208	46281
850	34237	46226
851	34271	46177
852	34305	46129
853	34336	46076
854	34367	46024
855	34408	45985
856	34440	45933
857	34473	45884
858	34507	45836
859	34537	45782
860	34564	45724
861	34592	45668
862	34623	45616
863	34655	45565
864	34686	45513
865	34718	45463
866	34749	45410
867	34779	45357
868	34812	45308
869	34842	45254
870	34874	45204
871	34908	45157
872	34939	45105
873	34970	45053
874	35000	45000
875	35030	44948
876	35062	44897
877	35092	44844
